id|from_user_id|to_user_id
1|1|1153
2|1|396
3|1|274
4|1|30
5|1|4382
6|1|4642
7|1|422
8|1|4778
9|1|813
10|1|1965
11|1|1583
12|1|4655
13|1|2096
14|1|3913
15|1|3283
16|1|2782
17|1|96
18|1|615
19|1|1641
20|1|2671
21|1|4593
22|1|3571
23|1|3445
24|1|3066
25|2|4995
26|2|1929
27|2|3090
28|2|1554
29|2|2079
30|2|2081
31|2|4005
32|2|175
33|2|2613
34|2|3641
35|2|2302
36|2|1215
37|2|4160
38|2|4549
39|2|4294
40|2|4423
41|2|2251
42|2|4430
43|2|3406
44|2|1743
45|2|3665
46|2|338
47|2|1871
48|2|1236
49|2|853
50|2|1240
51|2|4704
52|2|2915
53|2|4197
54|2|1766
55|2|4710
56|2|361
57|2|3948
58|2|4461
59|2|2414
60|2|2670
61|2|4720
62|2|3437
63|2|1772
64|2|4090
65|2|4731
66|2|3070
67|2|2047
68|3|2304
69|3|2435
70|3|1924
71|3|1284
72|3|1670
73|3|4359
74|3|1674
75|3|3215
76|3|1039
77|3|273
78|3|4373
79|3|2711
80|3|3482
81|3|1563
82|3|2330
83|3|3998
84|3|291
85|3|1701
86|3|2727
87|3|4011
88|3|1069
89|3|1965
90|3|2610
91|3|2998
92|3|310
93|3|570
94|3|3903
95|3|3392
96|3|1601
97|3|579
98|3|4035
99|3|4934
100|3|4298
101|3|458
102|3|3533
103|3|3407
104|3|2001
105|3|2909
106|3|3038
107|3|356
108|3|4581
109|3|3693
110|3|4340
111|3|4728
112|3|3577
113|4|1792
114|4|3203
115|4|2180
116|4|1158
117|4|3846
118|4|3081
119|4|4109
120|4|3342
121|4|4879
122|4|4878
123|4|407
124|4|408
125|4|3611
126|4|669
127|4|3874
128|4|931
129|4|2087
130|4|812
131|4|2093
132|4|2992
133|4|2743
134|4|3897
135|4|3648
136|4|2627
137|4|2884
138|4|582
139|4|2504
140|4|4937
141|4|457
142|4|2121
143|4|461
144|4|4180
145|4|2389
146|4|728
147|4|3289
148|4|218
149|4|91
150|4|4313
151|4|1246
152|4|606
153|4|3806
154|4|3424
155|4|994
156|4|3429
157|4|3558
158|4|3815
159|4|871
160|4|233
161|4|105
162|4|1898
163|4|3052
164|4|2925
165|4|751
166|4|4080
167|4|4850
168|4|2546
169|4|1910
170|4|2679
171|4|506
172|4|2683
173|4|4348
174|4|383
175|5|640
176|5|1542
177|5|3079
178|5|396
179|5|3859
180|5|660
181|5|793
182|5|153
183|5|1563
184|5|2461
185|5|288
186|5|1185
187|5|803
188|5|3496
189|5|4651
190|5|3886
191|5|2991
192|5|1710
193|5|2993
194|5|47
195|5|3251
196|5|4789
197|5|566
198|5|2621
199|5|2878
200|5|3901
201|5|1856
202|5|3394
203|5|707
204|5|1092
205|5|4549
206|5|4168
207|5|3530
208|5|3918
209|5|1746
210|5|341
211|5|2653
212|5|3936
213|5|4576
214|5|1893
215|5|999
216|5|4329
217|5|3177
218|5|1260
219|5|3951
220|5|3569
221|5|4595
222|5|1011
223|5|1653
224|5|3706
225|5|3452
226|6|1537
227|6|2439
228|6|4743
229|6|1546
230|6|4491
231|6|3727
232|6|2330
233|6|2471
234|6|4136
235|6|3879
236|6|1706
237|6|50
238|6|1591
239|6|1336
240|6|2236
241|6|3906
242|6|837
243|6|198
244|6|2768
245|6|2647
246|6|4317
247|6|4062
248|6|1507
249|6|356
250|6|3045
251|6|358
252|6|4708
253|6|232
254|6|4466
255|6|1780
256|6|121
257|6|4348
258|7|4112
259|7|3607
260|7|4639
261|7|1057
262|7|3617
263|7|1060
264|7|4137
265|7|2604
266|7|4152
267|7|62
268|7|4674
269|7|70
270|7|4683
271|7|82
272|7|4181
273|7|86
274|7|4704
275|7|3169
276|7|3190
277|7|3710
278|7|1663
279|7|4736
280|7|3720
281|7|1168
282|7|3730
283|7|669
284|7|2736
285|7|2744
286|7|3771
287|7|1728
288|7|2244
289|7|3781
290|7|4820
291|7|4822
292|7|3295
293|7|225
294|7|3810
295|7|1773
296|7|753
297|7|4850
298|7|1786
299|7|3342
300|7|4881
301|7|1812
302|7|1305
303|7|816
304|7|306
305|7|1845
306|7|2870
307|7|4405
308|7|3899
309|7|320
310|7|3394
311|7|1353
312|7|3419
313|7|2942
314|7|2431
315|7|2944
316|7|2456
317|7|1950
318|7|1441
319|7|939
320|7|949
321|7|4026
322|7|443
323|7|1469
324|7|965
325|7|3526
326|7|3019
327|7|1492
328|7|2518
329|7|3546
330|7|475
331|7|3558
332|7|4071
333|7|4587
334|7|3574
335|7|3067
336|8|2432
337|8|640
338|8|2050
339|8|4096
340|8|896
341|8|1665
342|8|1038
343|8|1814
344|8|2841
345|8|3489
346|8|1063
347|8|3115
348|8|3766
349|8|2615
350|8|1093
351|8|1991
352|8|1483
353|8|4044
354|8|1361
355|8|1235
356|8|599
357|8|3032
358|8|2137
359|8|3800
360|8|3043
361|8|873
362|8|4075
363|8|1267
364|8|3189
365|8|3317
366|9|1536
367|9|2721
368|9|803
369|9|4612
370|9|3784
371|9|2313
372|9|4845
373|9|3342
374|9|493
375|9|2586
376|9|1371
377|9|1052
378|9|3966
379|10|1792
380|10|2304
381|10|2179
382|10|3080
383|10|2185
384|10|3722
385|10|392
386|10|4238
387|10|4750
388|10|3729
389|10|4371
390|10|1684
391|10|3353
392|10|4634
393|10|2333
394|10|3231
395|10|1695
396|10|4769
397|10|2851
398|10|3495
399|10|1576
400|10|3369
401|10|681
402|10|807
403|10|2985
404|10|3117
405|10|4141
406|10|2856
407|10|51
408|10|4276
409|10|821
410|10|3253
411|10|4919
412|10|4538
413|10|958
414|10|1985
415|10|2497
416|10|3013
417|10|582
418|10|4549
419|10|454
420|10|1225
421|10|4297
422|10|3019
423|10|2380
424|10|207
425|10|2000
426|10|2001
427|10|850
428|10|1748
429|10|3156
430|10|1750
431|10|3033
432|10|987
433|10|477
434|10|355
435|10|3172
436|10|2025
437|10|747
438|10|1516
439|10|4333
440|10|367
441|10|368
442|10|3825
443|10|498
444|10|2677
445|10|886
446|10|3959
447|10|250
448|10|4347
449|10|1149
450|11|2693
451|11|2309
452|11|134
453|11|1161
454|11|4234
455|11|1162
456|11|1421
457|11|2063
458|11|3988
459|11|3479
460|11|3992
461|11|667
462|11|2078
463|11|2466
464|11|1442
465|11|548
466|11|1701
467|11|4262
468|11|4903
469|11|808
470|11|2986
471|11|305
472|11|3507
473|11|3637
474|11|2617
475|11|1465
476|11|3131
477|11|2873
478|11|317
479|11|2622
480|11|4036
481|11|709
482|11|3526
483|11|2124
484|11|2129
485|11|4563
486|11|4436
487|11|4437
488|11|1620
489|11|3289
490|11|2139
491|11|3036
492|11|2524
493|11|350
494|11|1375
495|11|4703
496|11|4449
497|11|3556
498|11|3684
499|11|740
500|11|4968
501|11|3049
502|11|759
503|11|750
504|11|2414
505|11|1397
506|11|1783
507|11|3194
508|11|2940
509|11|4221
510|12|133
511|12|1962
512|12|2988
513|12|2321
514|12|951
515|13|3715
516|13|6
517|13|135
518|13|1799
519|13|4105
520|13|1801
521|13|4491
522|13|3985
523|13|2322
524|13|1042
525|13|1049
526|13|2972
527|13|287
528|13|4385
529|13|3750
530|13|2087
531|13|2728
532|13|1577
533|13|2348
534|13|3122
535|13|2227
536|13|3893
537|13|1846
538|13|1851
539|13|2238
540|13|192
541|13|2754
542|13|3139
543|13|3012
544|13|3652
545|13|1990
546|13|4422
547|13|1859
