id|user_id|movie_id
1|1|3
2|1|515
3|1|518
4|1|520
5|1|529
6|1|553
7|1|69
8|1|583
9|1|87
10|1|604
11|1|611
12|1|101
13|1|113
14|1|118
15|1|631
16|1|640
17|1|641
18|1|131
19|1|157
20|1|162
21|1|163
22|1|168
23|1|683
24|1|178
25|1|694
26|1|700
27|1|701
28|1|194
29|1|195
30|1|710
31|1|201
32|1|718
33|1|207
34|1|719
35|1|723
36|1|724
37|1|213
38|1|214
39|1|738
40|1|746
41|1|747
42|1|251
43|1|765
44|1|766
45|1|767
46|1|260
47|1|263
48|1|266
49|1|782
50|1|276
51|1|791
52|1|800
53|1|803
54|1|300
55|1|310
56|1|844
57|1|333
58|1|332
59|1|337
60|1|338
61|1|864
62|1|364
63|1|365
64|1|368
65|1|372
66|1|887
67|1|380
68|1|394
69|1|395
70|1|907
71|1|398
72|1|915
73|1|917
74|1|414
75|1|417
76|1|935
77|1|425
78|1|941
79|1|434
80|1|436
81|1|452
82|1|458
83|1|971
84|1|976
85|1|468
86|1|980
87|1|482
88|1|494
89|1|495
90|1|497
91|2|128
92|2|897
93|2|764
94|2|261
95|2|272
96|2|274
97|2|150
98|2|791
99|2|664
100|2|281
101|2|670
102|2|936
103|2|441
104|2|828
105|2|830
106|2|843
107|2|984
108|2|488
109|2|753
110|2|881
111|2|378
112|2|124
113|3|513
114|3|518
115|3|7
116|3|520
117|3|782
118|3|912
119|3|913
120|3|915
121|3|147
122|3|659
123|3|662
124|3|404
125|3|542
126|3|292
127|3|804
128|3|678
129|3|810
130|3|173
131|3|432
132|3|177
133|3|701
134|3|577
135|3|322
136|3|835
137|3|839
138|3|972
139|3|212
140|3|213
141|3|596
142|3|597
143|3|733
144|3|358
145|3|359
146|3|871
147|3|234
148|3|109
149|3|758
150|3|631
151|4|13
152|4|145
153|4|403
154|4|39
155|4|553
156|4|939
157|4|812
158|4|304
159|4|690
160|4|819
161|4|948
162|4|698
163|4|314
164|4|78
165|4|593
166|4|218
167|4|988
168|4|481
169|4|614
170|4|879
171|4|240
172|4|250
173|5|129
174|5|3
175|5|648
176|5|395
177|5|268
178|5|14
179|5|656
180|5|657
181|5|274
182|5|21
183|5|918
184|5|540
185|5|284
186|5|542
187|5|544
188|5|290
189|5|674
190|5|420
191|5|294
192|5|806
193|5|809
194|5|172
195|5|941
196|5|429
197|5|943
198|5|176
199|5|561
200|5|433
201|5|308
202|5|951
203|5|313
204|5|571
205|5|444
206|5|958
207|5|319
208|5|192
209|5|577
210|5|200
211|5|584
212|5|970
213|5|843
214|5|844
215|5|972
216|5|462
217|5|716
218|5|208
219|5|205
220|5|203
221|5|204
222|5|206
223|5|982
224|5|726
225|5|344
226|5|729
227|5|350
228|5|351
229|5|478
230|5|868
231|5|869
232|5|741
233|5|231
234|5|872
235|5|746
236|5|759
237|5|748
238|5|364
239|5|750
240|5|756
241|5|757
242|5|374
243|5|119
244|5|500
245|5|506
246|5|251
247|5|765
248|5|895
249|6|513
250|6|129
251|6|131
252|6|900
253|6|261
254|6|898
255|6|903
256|6|135
257|6|140
258|6|526
259|6|271
260|6|661
261|6|405
262|6|407
263|6|21
264|6|409
265|6|793
266|6|411
267|6|671
268|6|928
269|6|801
270|6|546
271|6|930
272|6|419
273|6|37
274|6|550
275|6|547
276|6|556
277|6|46
278|6|559
279|6|307
280|6|435
281|6|315
282|6|443
283|6|319
284|6|449
285|6|581
286|6|841
287|6|971
288|6|975
289|6|725
290|6|856
291|6|216
292|6|986
293|6|729
294|6|350
295|6|479
296|6|607
297|6|228
298|6|614
299|6|871
300|6|875
301|6|236
302|6|364
303|6|878
304|6|755
305|6|884
306|6|629
307|6|503
308|6|760
309|6|634
310|6|251
311|6|508
312|6|893
313|7|6
314|7|532
315|7|22
316|7|26
317|7|539
318|7|541
319|7|548
320|7|549
321|7|552
322|7|43
323|7|562
324|7|569
325|7|57
326|7|576
327|7|70
328|7|73
329|7|590
330|7|80
331|7|81
332|7|86
333|7|598
334|7|602
335|7|607
336|7|97
337|7|110
338|7|623
339|7|122
340|7|639
341|7|640
342|7|131
343|7|656
344|7|151
345|7|161
346|7|173
347|7|696
348|7|186
349|7|188
350|7|705
351|7|207
352|7|721
353|7|211
354|7|220
355|7|736
356|7|746
357|7|752
358|7|770
359|7|258
360|7|274
361|7|277
362|7|282
363|7|798
364|7|808
365|7|307
366|7|311
367|7|315
368|7|834
369|7|839
370|7|842
371|7|339
372|7|853
373|7|854
374|7|856
375|7|345
376|7|346
377|7|358
378|7|363
379|7|366
380|7|886
381|7|376
382|7|380
383|7|904
384|7|395
385|7|411
386|7|412
387|7|430
388|7|433
389|7|439
390|7|961
391|7|455
392|7|465
393|7|473
394|7|474
395|7|999
396|7|489
397|7|493
398|7|500
399|7|511
400|8|902
401|8|138
402|8|274
403|8|788
404|8|920
405|8|281
406|8|666
407|8|805
408|8|43
409|8|813
410|8|688
411|8|695
412|8|701
413|8|958
414|8|324
415|8|709
416|8|584
417|8|715
418|8|719
419|8|981
420|8|213
421|8|598
422|8|473
423|8|730
424|8|990
425|8|482
426|8|234
427|8|244
428|9|515
429|9|4
430|9|523
431|9|527
432|9|528
433|9|531
434|9|38
435|9|39
436|9|556
437|9|45
438|9|565
439|9|59
440|9|584
441|9|591
442|9|601
443|9|603
444|9|616
445|9|110
446|9|112
447|9|116
448|9|120
449|9|128
450|9|129
451|9|149
452|9|666
453|9|675
454|9|681
455|9|172
456|9|174
457|9|692
458|9|185
459|9|704
460|9|200
461|9|205
462|9|725
463|9|730
464|9|219
465|9|735
466|9|226
467|9|747
468|9|245
469|9|252
470|9|785
471|9|288
472|9|802
473|9|807
474|9|812
475|9|818
476|9|308
477|9|832
478|9|833
479|9|326
480|9|336
481|9|855
482|9|352
483|9|870
484|9|872
485|9|879
486|9|885
487|9|377
488|9|892
489|9|384
490|9|390
491|9|391
492|9|907
493|9|911
494|9|913
495|9|402
496|9|917
497|9|408
498|9|923
499|9|925
500|9|926
501|9|429
502|9|433
503|9|954
504|9|442
505|9|444
506|9|957
507|9|447
508|9|960
509|9|975
510|9|983
511|9|991
512|9|992
513|9|481
514|9|994
515|9|993
516|9|483
517|9|503
518|10|5
519|10|261
520|10|519
521|10|645
522|10|397
523|10|914
524|10|790
525|10|663
526|10|662
527|10|539
528|10|670
529|10|35
530|10|935
531|10|814
532|10|435
533|10|826
534|10|570
535|10|700
536|10|195
537|10|451
538|10|200
539|10|588
540|10|975
541|10|850
542|10|340
543|10|224
544|10|746
545|10|874
546|10|106
547|10|236
548|10|885
549|10|887
550|10|252
551|10|127
552|11|129
553|11|769
554|11|6
555|11|774
556|11|776
557|11|520
558|11|10
559|11|779
560|11|13
561|11|910
562|11|909
563|11|529
564|11|659
565|11|539
566|11|286
567|11|300
568|11|428
569|11|306
570|11|434
571|11|562
572|11|827
573|11|701
574|11|61
575|11|319
576|11|460
577|11|462
578|11|464
579|11|977
580|11|467
581|11|854
582|11|343
583|11|728
584|11|602
585|11|475
586|11|223
587|11|992
588|11|864
589|11|870
590|11|618
591|11|875
592|11|108
593|11|497
594|11|626
595|11|117
596|11|249
597|11|507
598|11|508
599|12|513
600|12|643
601|12|138
602|12|11
603|12|910
604|12|146
605|12|659
606|12|279
607|12|920
608|12|26
